weight,Time,Diet
42,0,1
51,2,1
59,4,1
64,6,1
76,8,1
93,10,1
106,12,1
125,14,1
149,16,1
171,18,1
199,20,1
205,21,1
40,0,1
49,2,1
58,4,1
72,6,1
84,8,1
103,10,1
122,12,1
138,14,1
162,16,1
187,18,1
209,20,1
215,21,1
43,0,1
39,2,1
55,4,1
67,6,1
84,8,1
99,10,1
115,12,1
138,14,1
163,16,1
187,18,1
198,20,1
202,21,1
42,0,1
49,2,1
56,4,1
67,6,1
74,8,1
87,10,1
102,12,1
108,14,1
136,16,1
154,18,1
160,20,1
157,21,1
41,0,1
42,2,1
48,4,1
60,6,1
79,8,1
106,10,1
141,12,1
164,14,1
197,16,1
199,18,1
220,20,1
223,21,1
41,0,1
49,2,1
59,4,1
74,6,1
97,8,1
124,10,1
141,12,1
148,14,1
155,16,1
160,18,1
160,20,1
157,21,1
41,0,1
49,2,1
57,4,1
71,6,1
89,8,1
112,10,1
146,12,1
174,14,1
218,16,1
250,18,1
288,20,1
305,21,1
42,0,1
50,2,1
61,4,1
71,6,1
84,8,1
93,10,1
110,12,1
116,14,1
126,16,1
134,18,1
125,20,1
42,0,1
51,2,1
59,4,1
68,6,1
85,8,1
96,10,1
90,12,1
92,14,1
93,16,1
100,18,1
100,20,1
98,21,1
41,0,1
44,2,1
52,4,1
63,6,1
74,8,1
81,10,1
89,12,1
96,14,1
101,16,1
112,18,1
120,20,1
124,21,1
43,0,1
51,2,1
63,4,1
84,6,1
112,8,1
139,10,1
168,12,1
177,14,1
182,16,1
184,18,1
181,20,1
175,21,1
41,0,1
49,2,1
56,4,1
62,6,1
72,8,1
88,10,1
119,12,1
135,14,1
162,16,1
185,18,1
195,20,1
205,21,1
41,0,1
48,2,1
53,4,1
60,6,1
65,8,1
67,10,1
71,12,1
70,14,1
71,16,1
81,18,1
91,20,1
96,21,1
41,0,1
49,2,1
62,4,1
79,6,1
101,8,1
128,10,1
164,12,1
192,14,1
227,16,1
248,18,1
259,20,1
266,21,1
41,0,1
49,2,1
56,4,1
64,6,1
68,8,1
68,10,1
67,12,1
68,14,1
41,0,1
45,2,1
49,4,1
51,6,1
57,8,1
51,10,1
54,12,1
