Fresh,Channel,Region
12669,2,3
7057,2,3
6353,2,3
13265,1,3
22615,2,3
9413,2,3
12126,2,3
7579,2,3
5963,1,3
6006,2,3
3366,2,3
13146,2,3
31714,2,3
21217,2,3
24653,2,3
10253,1,3
1020,2,3
5876,1,3
18601,2,3
7780,1,3
17546,2,3
5567,1,3
31276,1,3
26373,2,3
22647,2,3
16165,2,3
9898,1,3
14276,1,3
4113,2,3
43088,1,3
18815,1,3
2612,1,3
21632,1,3
29729,1,3
1502,1,3
688,2,3
29955,1,3
15168,2,3
4591,2,3
56159,1,3
24025,1,3
19176,1,3
10850,2,3
630,2,3
9670,2,3
5181,2,3
3103,2,3
44466,2,3
11519,2,3
4967,2,3
6269,1,3
3347,1,3
40721,2,3
491,2,3
27329,1,3
5264,1,3
4098,2,3
5417,2,3
13779,1,3
6137,1,3
8590,2,3
35942,2,3
7823,2,3
9396,2,3
4760,1,3
85,2,3
9,1,3
19913,2,3
2446,1,3
8352,1,3
16705,1,3
18291,1,3
4420,1,3
19899,2,3
8190,2,3
20398,1,3
717,1,3
12205,2,3
10766,1,3
1640,1,3
7005,1,3
219,2,3
10362,2,3
20874,1,3
11867,2,3
16117,2,3
22925,2,3
43265,1,3
7864,1,3
24904,1,3
11405,1,3
12754,1,3
9198,2,3
11314,1,3
5626,2,3
3,1,3
23,2,3
403,1,3
503,1,3
9658,1,3
11594,2,3
1420,2,3
2932,2,3
56082,1,3
14100,1,3
15587,1,3
1454,2,3
8797,2,3
1531,2,3
1406,2,3
11818,1,3
12579,2,3
19046,1,3
14438,1,3
18044,1,3
11134,1,3
11173,1,3
6990,1,3
20049,1,3
8258,1,3
17160,1,3
4020,1,3
12212,1,3
11170,2,3
36050,1,3
76237,1,3
19219,1,3
21465,2,3
140,1,3
42312,1,3
7149,1,3
2101,1,3
14903,1,3
9434,1,3
7388,1,3
6300,1,3
4625,1,3
3087,1,3
13537,1,3
5387,1,3
17623,1,3
30379,1,3
37036,1,3
10405,1,3
18827,1,3
22039,2,3
7769,1,3
9203,1,3
5924,1,3
31812,1,3
16225,1,3
1289,1,3
18840,1,3
3463,1,3
622,1,3
1989,2,3
3830,2,3
17773,1,3
2861,2,3
355,2,3
1725,2,3
12434,1,3
15177,1,3
5531,2,3
5224,2,3
15615,2,3
4822,2,3
2926,1,3
5809,1,3
5414,1,3
260,2,3
200,2,3
955,1,3
514,2,3
286,1,3
2343,2,3
45640,1,3
12759,1,3
11002,1,3
3157,1,3
12356,1,3
112151,1,3
694,1,3
36847,1,3
327,1,3
8170,1,3
3009,1,3
2438,1,3
8040,2,3
834,2,3
16936,1,3
13624,1,3
5509,1,3
180,2,3
7107,1,3
17023,1,3
30624,1,1
2427,2,1
11686,1,1
9670,1,1
3067,2,1
4484,2,1
25203,1,1
583,1,1
1956,1,1
1107,2,1
6373,1,1
2541,2,1
1537,1,1
5550,2,1
18567,1,1
12119,2,1
7291,1,1
3317,1,1
2362,2,1
2806,1,1
2532,2,1
18044,1,1
18,2,1
4155,1,1
14755,1,1
5396,1,1
5041,1,1
2790,2,1
7274,1,1
12680,1,1
20782,2,1
4042,1,1
1869,1,1
8656,1,1
11072,2,1
2344,1,1
25962,1,1
964,1,1
15603,1,1
1838,1,1
8635,1,1
18692,1,1
7363,1,1
47493,1,1
22096,1,1
24929,1,1
18226,1,1
11210,1,1
6202,1,1
3062,2,1
8885,1,1
13569,1,1
15671,1,1
8040,1,1
3191,1,1
6134,2,1
6623,1,1
29526,1,1
10379,1,1
31614,1,1
11092,1,1
8475,1,1
56083,1,1
53205,1,1
9193,1,1
7858,1,1
23257,1,1
2153,1,1
1073,2,1
5909,1,1
572,2,1
20893,1,1
11908,2,1
15218,1,1
4720,1,1
2083,1,1
514,1,1
36817,1,3
894,1,3
680,1,3
27901,1,3
9061,1,3
11693,1,3
17360,2,3
3366,1,3
12238,2,3
49063,1,3
25767,1,3
68951,1,3
40254,1,3
7149,1,3
15354,1,3
16260,1,3
42786,1,3
2708,1,3
6022,1,3
2838,1,3
3996,2,2
21273,1,2
7588,2,2
19087,1,2
8090,2,2
6758,2,2
444,1,2
16448,2,2
5283,2,2
2886,2,2
